OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;geometry;subject;region_name;regio_type;region_code;lon;lat
;;;;;;POINT (52.362408488293 4.94980416242105);Indische Buurt Oost;Amsterdam;Wijk;WK036332;4.94980416242105;52.362408488293
;;;;;;POINT (52.36442080340071 4.9433194793336);Noordoostkwadrant Indische buurt;Amsterdam;Buurt;BU03633200;4.9433194793336;52.364420803400705
;;;;;;POINT (52.36036864928021 4.942913797256);Zuidoostkwadrant Indische buurt;Amsterdam;Buurt;BU03633201;4.942913797256;52.36036864928021
;;;;;;POINT (52.3664448741098 4.95261879438952);Zeeburgerdijk Oost;Amsterdam;Buurt;BU03633202;4.95261879438952;52.366444874109796
;;;;;;POINT (52.3614066002745 4.95287981734765);Flevopark;Amsterdam;Buurt;BU03633203;4.95287981734765;52.3614066002745
;;;;;;POINT (52.3755886612565 4.93936670232522);Oostelijk Havengebied;Amsterdam;Wijk;WK036333;4.93936670232522;52.3755886612565
;;;;;;POINT (52.3770720906969 4.91996171149707);Oostelijke Handelskade;Amsterdam;Buurt;BU03633300;4.91996171149707;52.3770720906969
;;;;;;POINT (52.37390243075949 4.93387234638284);Rietlanden;Amsterdam;Buurt;BU03633301;4.93387234638284;52.37390243075949
;;;;;;POINT (52.37934104520701 4.92845109814682);Java-eiland;Amsterdam;Buurt;BU03633302;4.92845109814682;52.379341045207006
;;;;;;POINT (52.37927936637089 4.94714227414676);KNSM-eiland;Amsterdam;Buurt;BU03633303;4.94714227414676;52.379279366370895
;;;;;;POINT (52.3742151250124 4.94712182485724);Sporenburg;Amsterdam;Buurt;BU03633304;4.94712182485724;52.3742151250124
;;;;;;POINT (52.37153133742311 4.94618735988289);Borneo;Amsterdam;Buurt;BU03633305;4.94618735988289;52.37153133742311
;;;;;;POINT (52.3695079273092 4.93535453521191);Entrepot-Noordwest;Amsterdam;Buurt;BU03633306;4.93535453521191;52.3695079273092
;;;;;;POINT (52.3687004031183 4.94245711814138);Architectenbuurt;Amsterdam;Buurt;BU03633307;4.94245711814138;52.3687004031183
;;;;;;POINT (52.36790276054279 4.93681668930761);Bedrijvengebied Veelaan;Amsterdam;Buurt;BU03633308;4.93681668930761;52.36790276054279
;;;;;;POINT (52.3695661044265 4.951871876914709);Bedrijvengebied Cruquiusweg;Amsterdam;Buurt;BU03633309;4.951871876914709;52.3695661044265
;;;;;;POINT (52.3669838309326 4.9417270110673);Bedrijvengebied Zeeburgerkade;Amsterdam;Buurt;BU03633310;4.9417270110673;52.3669838309326
;;;;;;POINT (52.36160403050179 4.9737780443182);Zeeburgereiland/Nieuwe Diep;Amsterdam;Wijk;WK036334;4.9737780443182;52.361604030501795
;;;;;;POINT (52.3761666091636 4.95942610357855);Zeeburgereiland Noordwest;Amsterdam;Buurt;BU03633400;4.95942610357855;52.3761666091636
;;;;;;POINT (52.368094521754 4.96816748690597);Zeeburgereiland Zuidoost;Amsterdam;Buurt;BU03633402;4.96816748690597;52.368094521753996
;;;;;;POINT (52.36966725759051 4.95921130592104);Zeeburgereiland Zuidwest;Amsterdam;Buurt;BU03633403;4.95921130592104;52.36966725759051
;;;;;;POINT (52.3531638419005 4.982293700645321);Nieuwe Diep/Diemerpark;Amsterdam;Buurt;BU03633404;4.982293700645321;52.3531638419005
;;;;;;POINT (52.3732372511115 4.966600804845871);RI Oost terrein;Amsterdam;Buurt;BU03633405;4.966600804845871;52.3732372511115
;;;;;;POINT (52.36978771718929 4.97330970739501);Zeeburgereiland Noordoost;Amsterdam;Buurt;BU03633406;4.97330970739501;52.36978771718929
;;;;;;POINT (52.3582682936572 4.99113571349889);IJburg West;Amsterdam;Wijk;WK036335;4.99113571349889;52.358268293657204
;;;;;;POINT (52.3631873650189 4.98592003217566);Steigereiland Noord;Amsterdam;Buurt;BU03633500;4.9859200321756605;52.3631873650189
;;;;;;POINT (52.36149412276939 4.97964670043535);Steigereiland Zuid;Amsterdam;Buurt;BU03633501;4.9796467004353495;52.36149412276939
;;;;;;POINT (52.3550427733616 4.99315717375905);Haveneiland Zuidwest/Rieteiland West;Amsterdam;Buurt;BU03633502;4.99315717375905;52.355042773361596
;;;;;;POINT (52.35944992562671 4.9919583851807);Haveneiland Noordwest;Amsterdam;Buurt;BU03633504;4.9919583851807;52.359449925626706
;;;;;;POINT (52.355954511638 4.99875920717323);Haveneiland Noordoost;Amsterdam;Buurt;BU03633505;4.99875920717323;52.355954511638004
;;;;;;POINT (52.3898983024017 4.852500385036531);Sloterdijk;Amsterdam;Wijk;WK036336;4.852500385036531;52.389898302401704
;;;;;;POINT (52.3871051242477 4.85431783960872);Woon- en Groengebied Sloterdijk;Amsterdam;Buurt;BU03633600;4.85431783960872;52.387105124247704
;;;;;;POINT (52.3920782313593 4.85110115071887);Bedrijventerrein Sloterdijk I;Amsterdam;Buurt;BU03633601;4.85110115071887;52.3920782313593
;;;;;;POINT (52.3807313806271 4.854571379680968);Landlust;Amsterdam;Wijk;WK036337;4.854571379680968;52.3807313806271
