OBJECTNUMMER;Gebied_code;Gebied;Stadsdeel_code;Opp_m2;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
1;Dxxx;Westpoort;B;28991600;POLYGON((4.885861 52.39937,4.882702 52.401695,4.87355 52.408292,4.870992 52.410124,4.867103 52.412378,4.863879 52.413807,4.863631 52.413897,4.860881 52.414894,4.855718 52.416316,4.856085 52.416656,4.851456 52.417427,4.850782 52.41757,4.849602 52.417791,4.848032 52.418066,4.846394 52.418305,4.845291 52.418462,4.836333 52.419579,4.833824 52.419905,4.832811 52.420041,4.831715 52.420199,4.829555 52.420537,4.828603 52.420673,4.82773 52.420777,4.826111 52.420971,4.824315 52.421157,4.809948 52.423017,4.806676 52.423443,4.801887 52.424048,4.78345 52.426412,4.772468 52.427862,4.767546 52.428492,4.767192 52.427462,4.753214 52.429235,4.75023 52.429612,4.739217 52.431057,4.737502 52.426099,4.735685 52.420785,4.734968 52.418639,4.734881 52.418455,4.73474 52.418068,4.732969 52.412847,4.732464 52.411403,4.731412 52.408304,4.731057 52.407293,4.730942 52.406905,4.730157 52.404641,4.730074 52.404478,4.729848 52.403791,4.729003 52.401375,4.728843 52.400886,4.728768 52.400705,4.733723 52.400059,4.748501 52.398165,4.756061 52.397186,4.75603 52.397097,4.757196 52.396938,4.757489 52.396877,4.758294 52.399197,4.759372 52.398901,4.759821 52.400208,4.764768 52.399584,4.765414 52.399524,4.767413 52.399261,4.768923 52.399004,4.769229 52.398934,4.771253 52.398382,4.771005 52.398205,4.770856 52.398037,4.770775 52.397902,4.770736 52.397838,4.770699 52.397714,4.770634 52.397365,4.772992 52.394817,4.775011 52.399118,4.792715 52.399134,4.79303 52.39916,4.793787 52.399264,4.794897 52.399343,4.795298 52.399329,4.795543 52.399336,4.795708 52.399364,4.795958 52.399413,4.796304 52.399512,4.796779 52.399696,4.797388 52.399956,4.797928 52.400119,4.798253 52.400191,4.798642 52.400246,4.798912 52.400267,4.799144 52.400275,4.799417 52.400272,4.799772 52.400249,4.80018 52.400193,4.800427 52.400139,4.800672 52.400073,4.800961 52.399979,4.801146 52.399909,4.801329 52.399817,4.801386 52.399723,4.801627 52.399589,4.801891 52.399406,4.802086 52.399229,4.802222 52.399074,4.802304 52.398957,4.802446 52.398698,4.802743 52.398003,4.802942 52.397604,4.803073 52.397367,4.803405 52.396826,4.803579 52.39657,4.803987 52.396025,4.804189 52.395781,4.804412 52.395526,4.804809 52.395106,4.804954 52.394973,4.805033 52.394929,4.805181 52.394813,4.805296 52.394704,4.805412 52.394563,4.805528 52.394507,4.805799 52.394517,4.805878 52.394549,4.80599 52.394437,4.807158 52.394888,4.807362 52.394994,4.807622 52.395094,4.807877 52.395172,4.808552 52.395427,4.808775 52.395233,4.808978 52.395321,4.80913 52.395193,4.809225 52.395099,4.809316 52.39499,4.809524 52.394804,4.809616 52.394842,4.809661 52.394792,4.809893 52.394569,4.810031 52.39446,4.810597 52.394062,4.810839 52.393907,4.81176 52.393381,4.812103 52.393205,4.812459 52.393036,4.81305 52.392786,4.81371 52.392532,4.814353 52.392307,4.814647 52.392216,4.815136 52.392088,4.81537 52.392036,4.81565 52.39198,4.81618 52.391904,4.817472 52.391889,4.818785 52.391887,4.833014 52.391901,4.833656 52.391916,4.834303 52.391959,4.834924 52.392031,4.835449 52.392116,4.835529 52.392183,4.835581 52.392316,4.83558 52.392743,4.83563 52.393004,4.835663 52.393776,4.835746 52.395023,4.835797 52.395426,4.836139 52.395428,4.837313 52.395434,4.837893 52.395425,4.838855 52.396166,4.839491 52.395974,4.83953 52.395795,4.840342 52.395539,4.841764 52.395076,4.841456 52.39482,4.840666 52.394203,4.841089 52.394415,4.841597 52.394635,4.841907 52.394754,4.842246 52.394874,4.842379 52.394908,4.842513 52.394925,4.84295 52.395053,4.843271 52.395133,4.843687 52.395224,4.843991 52.39525,4.844318 52.395296,4.844849 52.395382,4.844935 52.395408,4.845442 52.395447,4.8455 52.395477,4.84554 52.395481,4.846004 52.3955,4.846753 52.395514,4.846754 52.395451,4.847112 52.395452,4.84711 52.395462,4.849061 52.395479,4.850514 52.395488,4.850514 52.395476,4.850832 52.395478,4.850829 52.39549,4.85497 52.395516,4.854967 52.395501,4.855621 52.395505,4.855627 52.395392,4.856905 52.395394,4.857357 52.39539,4.857722 52.395373,4.85811 52.395346,4.858928 52.395248,4.859326 52.395179,4.859747 52.395096,4.86017 52.394994,4.860588 52.394883,4.860952 52.394771,4.861593 52.394529,4.861873 52.39441,4.862377 52.394157,4.862644 52.394008,4.863125 52.393701,4.863409 52.393499,4.864225 52.392865,4.864217 52.392861,4.864928 52.39301,4.865545 52.393139,4.865611 52.393155,4.865641 52.393197,4.86568 52.39319,4.865864 52.393485,4.866042 52.393631,4.866074 52.393617,4.866089 52.39363,4.866382 52.393513,4.866611 52.393443,4.866882 52.393378,4.86706 52.393349,4.867219 52.393333,4.871287 52.395253,4.871495 52.395071,4.871504 52.394999,4.871691 52.394762,4.871779 52.394613,4.872516 52.394743,4.872682 52.394758,4.872814 52.39476,4.875853 52.394488,4.875976 52.394484,4.876133 52.394491,4.876302 52.394516,4.876412 52.394541,4.876576 52.394599,4.885479 52.399158,4.885861 52.39937));POLYGON((52.39937 4.885861,52.401695 4.882702,52.408292 4.87355,52.410124 4.870992,52.412378 4.867103,52.413807 4.863879,52.413897 4.863631,52.414894 4.860881,52.416316 4.855718,52.416656 4.856085,52.417427 4.851456,52.41757 4.850782,52.417791 4.849602,52.418066 4.848032,52.418305 4.846394,52.418462 4.845291,52.419579 4.836333,52.419905 4.833824,52.420041 4.832811,52.420199 4.831715,52.420537 4.829555,52.420673 4.828603,52.420777 4.82773,52.420971 4.826111,52.421157 4.824315,52.423017 4.809948,52.423443 4.806676,52.424048 4.801887,52.426412 4.78345,52.427862 4.772468,52.428492 4.767546,52.427462 4.767192,52.429235 4.753214,52.429612 4.75023,52.431057 4.739217,52.426099 4.737502,52.420785 4.735685,52.418639 4.734968,52.418455 4.734881,52.418068 4.73474,52.412847 4.732969,52.411403 4.732464,52.408304 4.731412,52.407293 4.731057,52.406905 4.730942,52.404641 4.730157,52.404478 4.730074,52.403791 4.729848,52.401375 4.729003,52.400886 4.728843,52.400705 4.728768,52.400059 4.733723,52.398165 4.748501,52.397186 4.756061,52.397097 4.75603,52.396938 4.757196,52.396877 4.757489,52.399197 4.758294,52.398901 4.759372,52.400208 4.759821,52.399584 4.764768,52.399524 4.765414,52.399261 4.767413,52.399004 4.768923,52.398934 4.769229,52.398382 4.771253,52.398205 4.771005,52.398037 4.770856,52.397902 4.770775,52.397838 4.770736,52.397714 4.770699,52.397365 4.770634,52.394817 4.772992,52.399118 4.775011,52.399134 4.792715,52.39916 4.79303,52.399264 4.793787,52.399343 4.794897,52.399329 4.795298,52.399336 4.795543,52.399364 4.795708,52.399413 4.795958,52.399512 4.796304,52.399696 4.796779,52.399956 4.797388,52.400119 4.797928,52.400191 4.798253,52.400246 4.798642,52.400267 4.798912,52.400275 4.799144,52.400272 4.799417,52.400249 4.799772,52.400193 4.80018,52.400139 4.800427,52.400073 4.800672,52.399979 4.800961,52.399909 4.801146,52.399817 4.801329,52.399723 4.801386,52.399589 4.801627,52.399406 4.801891,52.399229 4.802086,52.399074 4.802222,52.398957 4.802304,52.398698 4.802446,52.398003 4.802743,52.397604 4.802942,52.397367 4.803073,52.396826 4.803405,52.39657 4.803579,52.396025 4.803987,52.395781 4.804189,52.395526 4.804412,52.395106 4.804809,52.394973 4.804954,52.394929 4.805033,52.394813 4.805181,52.394704 4.805296,52.394563 4.805412,52.394507 4.805528,52.394517 4.805799,52.394549 4.805878,52.394437 4.80599,52.394888 4.807158,52.394994 4.807362,52.395094 4.807622,52.395172 4.807877,52.395427 4.808552,52.395233 4.808775,52.395321 4.808978,52.395193 4.80913,52.395099 4.809225,52.39499 4.809316,52.394804 4.809524,52.394842 4.809616,52.394792 4.809661,52.394569 4.809893,52.39446 4.810031,52.394062 4.810597,52.393907 4.810839,52.393381 4.81176,52.393205 4.812103,52.393036 4.812459,52.392786 4.81305,52.392532 4.81371,52.392307 4.814353,52.392216 4.814647,52.392088 4.815136,52.392036 4.81537,52.39198 4.81565,52.391904 4.81618,52.391889 4.817472,52.391887 4.818785,52.391901 4.833014,52.391916 4.833656,52.391959 4.834303,52.392031 4.834924,52.392116 4.835449,52.392183 4.835529,52.392316 4.835581,52.392743 4.83558,52.393004 4.83563,52.393776 4.835663,52.395023 4.835746,52.395426 4.835797,52.395428 4.836139,52.395434 4.837313,52.395425 4.837893,52.396166 4.838855,52.395974 4.839491,52.395795 4.83953,52.395539 4.840342,52.395076 4.841764,52.39482 4.841456,52.394203 4.840666,52.394415 4.841089,52.394635 4.841597,52.394754 4.841907,52.394874 4.842246,52.394908 4.842379,52.394925 4.842513,52.395053 4.84295,52.395133 4.843271,52.395224 4.843687,52.39525 4.843991,52.395296 4.844318,52.395382 4.844849,52.395408 4.844935,52.395447 4.845442,52.395477 4.8455,52.395481 4.84554,52.3955 4.846004,52.395514 4.846753,52.395451 4.846754,52.395452 4.847112,52.395462 4.84711,52.395479 4.849061,52.395488 4.850514,52.395476 4.850514,52.395478 4.850832,52.39549 4.850829,52.395516 4.85497,52.395501 4.854967,52.395505 4.855621,52.395392 4.855627,52.395394 4.856905,52.39539 4.857357,52.395373 4.857722,52.395346 4.85811,52.395248 4.858928,52.395179 4.859326,52.395096 4.859747,52.394994 4.86017,52.394883 4.860588,52.394771 4.860952,52.394529 4.861593,52.39441 4.861873,52.394157 4.862377,52.394008 4.862644,52.393701 4.863125,52.393499 4.863409,52.392865 4.864225,52.392861 4.864217,52.39301 4.864928,52.393139 4.865545,52.393155 4.865611,52.393197 4.865641,52.39319 4.86568,52.393485 4.865864,52.393631 4.866042,52.393617 4.866074,52.39363 4.866089,52.393513 4.866382,52.393443 4.866611,52.393378 4.866882,52.393349 4.86706,52.393333 4.867219,52.395253 4.871287,52.395071 4.871495,52.394999 4.871504,52.394762 4.871691,52.394613 4.871779,52.394743 4.872516,52.394758 4.872682,52.39476 4.872814,52.394488 4.875853,52.394484 4.875976,52.394491 4.876133,52.394516 4.876302,52.394541 4.876412,52.394599 4.876576,52.399158 4.885479,52.39937 4.885861));48.073.194;5.241.146.535
2;DX21;Bijlmer-Oost;T;4076020;POLYGON((4.996899 52.317636,4.996784 52.317753,4.996213 52.318452,4.996035 52.318698,4.99585 52.31893,4.995583 52.319188,4.995481 52.319304,4.995259 52.319609,4.994843 52.320215,4.994343 52.32082,4.994215 52.321023,4.99346 52.321944,4.992601 52.32313,4.992173 52.3237,4.992112 52.323761,4.991769 52.324266,4.991675 52.324431,4.991511 52.324746,4.991069 52.325791,4.990894 52.326136,4.990827 52.326229,4.990749 52.326336,4.990577 52.326534,4.989942 52.327204,4.989607 52.327541,4.989477 52.327659,4.989205 52.32787,4.989049 52.327979,4.988631 52.32821,4.987651 52.328723,4.987302 52.328924,4.98703 52.329111,4.986372 52.329593,4.985501 52.330138,4.985305 52.330253,4.985102 52.330357,4.98495 52.330422,4.984792 52.330475,4.984479 52.330558,4.983969 52.330661,4.983358 52.330741,4.982523 52.330798,4.981653 52.330799,4.981138 52.330764,4.980687 52.330755,4.980513 52.330777,4.979803 52.330997,4.97835 52.331071,4.97795 52.331154,4.977139 52.330636,4.976347 52.330644,4.975965 52.33063,4.975639 52.330601,4.97531 52.330556,4.975006 52.329971,4.974838 52.32971,4.97451 52.329321,4.974029 52.328901,4.973418 52.328468,4.972156 52.32771,4.971811 52.327467,4.971367 52.326952,4.971223 52.326765,4.971119 52.326656,4.970991 52.326561,4.970864 52.32648,4.970477 52.326282,4.970258 52.326164,4.969612 52.326512,4.969214 52.326777,4.967545 52.327752,4.962513 52.32603,4.956755 52.324039,4.959336 52.321213,4.96176 52.318565,4.963566 52.31659,4.965179 52.314811,4.971421 52.307989,4.97397 52.308865,4.978675 52.310482,4.983531 52.312147,4.987328 52.313447,4.988385 52.313828,4.989132 52.314108,4.990089 52.31448,4.991138 52.314908,4.992323 52.315414,4.993388 52.315892,4.994435 52.316383,4.99526 52.316787,4.996899 52.317636));POLYGON((52.317636 4.996899,52.317753 4.996784,52.318452 4.996213,52.318698 4.996035,52.31893 4.99585,52.319188 4.995583,52.319304 4.995481,52.319609 4.995259,52.320215 4.994843,52.32082 4.994343,52.321023 4.994215,52.321944 4.99346,52.32313 4.992601,52.3237 4.992173,52.323761 4.992112,52.324266 4.991769,52.324431 4.991675,52.324746 4.991511,52.325791 4.991069,52.326136 4.990894,52.326229 4.990827,52.326336 4.990749,52.326534 4.990577,52.327204 4.989942,52.327541 4.989607,52.327659 4.989477,52.32787 4.989205,52.327979 4.989049,52.32821 4.988631,52.328723 4.987651,52.328924 4.987302,52.329111 4.98703,52.329593 4.986372,52.330138 4.985501,52.330253 4.985305,52.330357 4.985102,52.330422 4.98495,52.330475 4.984792,52.330558 4.984479,52.330661 4.983969,52.330741 4.983358,52.330798 4.982523,52.330799 4.981653,52.330764 4.981138,52.330755 4.980687,52.330777 4.980513,52.330997 4.979803,52.331071 4.97835,52.331154 4.97795,52.330636 4.977139,52.330644 4.976347,52.33063 4.975965,52.330601 4.975639,52.330556 4.97531,52.329971 4.975006,52.32971 4.974838,52.329321 4.97451,52.328901 4.974029,52.328468 4.973418,52.32771 4.972156,52.327467 4.971811,52.326952 4.971367,52.326765 4.971223,52.326656 4.971119,52.326561 4.970991,52.32648 4.970864,52.326282 4.970477,52.326164 4.970258,52.326512 4.969612,52.326777 4.969214,52.327752 4.967545,52.32603 4.962513,52.324039 4.956755,52.321213 4.959336,52.318565 4.96176,52.31659 4.963566,52.314811 4.965179,52.307989 4.971421,52.308865 4.97397,52.310482 4.978675,52.312147 4.983531,52.313447 4.987328,52.313828 4.988385,52.314108 4.989132,52.31448 4.990089,52.314908 4.991138,52.315414 4.992323,52.315892 4.993388,52.316383 4.994435,52.316787 4.99526,52.317636 4.996899));497.683.215;5.231.956.355
