OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
2355;NietWonen;10;3000;4.775.163;52.350.039;POINT(52.350039,4.775163)
2356;Wonen;9.4;2000;4.807.303;5.234.324;POINT(52.34324,4.807303)
2357;Wonen;9.4;2000;4.790.442;52.348.926;POINT(52.348926,4.790442)
2358;Wonen;9.4;2000;4.930.592;52.346.201;POINT(52.346201,4.930592)
2359;Wonen;5;1000;4.912.688;52.383.317;POINT(52.383317,4.912688)
2360;NietWonen;119;29000;4.874.714;52.331.483;POINT(52.331483,4.874714)
2361;Wonen;10;2000;4.853.802;52.368.026;POINT(52.368026,4.853802)
2362;Wonen;9.4;2000;4.867.514;52.330.899;POINT(52.330899,4.867514)
2363;Wonen;5;1000;4.937.106;52.353.337;POINT(52.353337,4.937106)
2364;Wonen;9.4;2000;4.796.427;52.344.241;POINT(52.344241,4.796427)
2365;Wonen;9.4;2000;4.875.623;52.381.544;POINT(52.381544,4.875623)
2366;Wonen;9.4;2000;488.363;52.324.045;POINT(52.324045,4.88363)
2367;Wonen;16;4000;4.929.894;52.361.831;POINT(52.361831,4.929894)
2368;Wonen;9.4;2000;4.823.989;52.343.652;POINT(52.343652,4.823989)
2369;NietWonen;72;18000;4.928.934;52.342.733;POINT(52.342733,4.928934)
2370;Wonen;9.4;2000;4.980.106;52.326.716;POINT(52.326716,4.980106)
2371;Wonen;9.4;2000;4.860.376;52.353.493;POINT(52.353493,4.860376)
2372;Wonen;9.4;2000;4.924.674;52.347.061;POINT(52.347061,4.924674)
2373;NietWonen;153;37000;5.000.631;52.352.807;POINT(52.352807,5.000631)
2374;Wonen;9.4;2000;4.993.631;52.300.963;POINT(52.300963,4.993631)
2375;Wonen;9.4;2000;4.926.408;52.391.032;POINT(52.391032,4.926408)
2376;Wonen;9.4;2000;4.858.134;52.328.697;POINT(52.328697,4.858134)
2377;Wonen;9.4;2000;4.898.724;52.338.677;POINT(52.338677,4.898724)
2378;Wonen;9.4;2000;4.818.898;52.348.821;POINT(52.348821,4.818898)
2379;Wonen;9.4;2000;4.899.038;52.339.701;POINT(52.339701,4.899038)
2380;Wonen;12;3000;4.777.153;52.353.434;POINT(52.353434,4.777153)
2381;Wonen;9.4;2000;4.782.444;5.234.623;POINT(52.34623,4.782444)
2382;Wonen;9.4;2000;4.771.789;5.235.278;POINT(52.35278,4.771789)
2383;Wonen;9.4;2000;4.925.203;52.342.553;POINT(52.342553,4.925203)
2384;Wonen;9.4;2000;4.968.032;52.304.662;POINT(52.304662,4.968032)
2385;Wonen;9.4;2000;4.824.356;52.361.294;POINT(52.361294,4.824356)
2386;Wonen;9.4;2000;4.801.485;52.344.268;POINT(52.344268,4.801485)
2387;Wonen;9.4;2000;501.448;52.305.844;POINT(52.305844,5.01448)
2388;Wonen;4;1000;4.851.914;52.365.763;POINT(52.365763,4.851914)
2389;Wonen;9.4;2000;4.987.611;52.357.479;POINT(52.357479,4.987611)
2390;NietWonen;23;6000;4.763.986;52.395.212;POINT(52.395212,4.763986)
2391;NietWonen;45;11000;4.835.389;52.365.006;POINT(52.365006,4.835389)
2392;Wonen;9.4;2000;4.946.816;52.374.583;POINT(52.374583,4.946816)
2393;Wonen;9.4;2000;482.036;52.354.588;POINT(52.354588,4.82036)
2394;Wonen;9.4;2000;4.780.021;5.235.446;POINT(52.35446,4.780021)
2395;Wonen;9.4;2000;5.006.531;52.305.735;POINT(52.305735,5.006531)
2396;Wonen;18;4000;4.870.037;52.383.135;POINT(52.383135,4.870037)
2397;Wonen;9.4;2000;4.851.377;52.349.579;POINT(52.349579,4.851377)
2398;Wonen;6;2000;4.909.845;52.386.636;POINT(52.386636,4.909845)
2399;Wonen;4;1000;4.906.148;52.347.542;POINT(52.347542,4.906148)
2400;Wonen;9.4;2000;499.182;52.290.441;POINT(52.290441,4.99182)
2401;Wonen;9.4;2000;4.820.319;52.349.491;POINT(52.349491,4.820319)
2402;NietWonen;5;1000;4.841.537;52.353.244;POINT(52.353244,4.841537)
2403;NietWonen;629;158000;4.851.295;52.393.962;POINT(52.393962,4.851295)
2404;NietWonen;6;2000;486.396;52.346.595;POINT(52.346595,4.86396)
2405;Wonen;4;1000;4.879.005;52.385.161;POINT(52.385161,4.879005)
2406;Wonen;9.4;2000;4.966.288;52.406.521;POINT(52.406521,4.966288)
2407;Wonen;9.4;2000;4.802.563;5.234.117;POINT(52.34117,4.802563)
2408;Wonen;9.4;2000;4.778.995;52.351.817;POINT(52.351817,4.778995)
2409;NietWonen;7;2000;4.798.423;52.381.504;POINT(52.381504,4.798423)
2410;Wonen;9.4;2000;4.939.978;52.349.003;POINT(52.349003,4.939978)
2411;Wonen;6;2000;4.942.295;52.353.975;POINT(52.353975,4.942295)
2412;Wonen;9.4;2000;4.899.703;52.422.871;POINT(52.422871,4.899703)
2413;Wonen;7;2000;4.856.445;52.382.823;POINT(52.382823,4.856445)
2414;NietWonen;42;11000;4.916.405;52.390.078;POINT(52.390078,4.916405)
2415;NietWonen;458;112000;4.937.767;52.397.247;POINT(52.397247,4.937767)
2416;Wonen;12;3000;497.029;52.299.485;POINT(52.299485,4.97029)
2417;Wonen;9.4;2000;5.014.122;52.305.403;POINT(52.305403,5.014122)
2418;NietWonen;9.4;2000;5.007.331;52.351.296;POINT(52.351296,5.007331)
2419;Wonen;9.4;2000;4.980.652;52.319.902;POINT(52.319902,4.980652)
2420;Wonen;9.4;2000;4.790.997;52.343.155;POINT(52.343155,4.790997)
2421;Wonen;19;5000;4.900.388;52.349.452;POINT(52.349452,4.900388)
2422;NietWonen;9.4;2000;4.830.892;52.381.407;POINT(52.381407,4.830892)
2423;Wonen;24;6000;4.888.275;5.238.857;POINT(52.38857,4.888275)
2424;Wonen;6;1000;4.847.432;52.351.273;POINT(52.351273,4.847432)
2425;Wonen;9.4;2000;4.836.172;52.383.558;POINT(52.383558,4.836172)
2426;Wonen;26;6000;4.935.797;52.362.203;POINT(52.362203,4.935797)
2427;Wonen;9.4;2000;4.784.522;52.348.289;POINT(52.348289,4.784522)
2428;Wonen;9.4;2000;4.979.561;52.328.561;POINT(52.328561,4.979561)
2429;Wonen;9.4;2000;4.779.433;52.353.358;POINT(52.353358,4.779433)
2430;Wonen;35;9000;4.826.075;52.344.876;POINT(52.344876,4.826075)
