OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
1;NietWonen;21;5000;4.849.801;52.380.596;POINT(52.380596,4.849801)
2;Wonen;9.4;2000;4.980.629;52.296.628;POINT(52.296628,4.980629)
3;Wonen;9.4;2000;4.970.498;522.995;POINT(52.2995,4.970498)
4;Wonen;9.4;2000;4.941.263;52.370.706;POINT(52.370706,4.941263)
5;NietWonen;35;9000;4.831.484;5.238.012;POINT(52.38012,4.831484)
6;NietWonen;23;6000;4.764.079;52.395.212;POINT(52.395212,4.764079)
7;NietWonen;7;2000;5.007.002;52.351.369;POINT(52.351369,5.007002)
8;Wonen;10;2000;4.793.403;52.346.017;POINT(52.346017,4.793403)
9;Wonen;9.4;2000;4.960.284;5.231.611;POINT(52.31611,4.960284)
10;Wonen;9.4;2000;4.884.047;52.323.945;POINT(52.323945,4.884047)
11;Wonen;9.4;2000;4.918.201;52.358.066;POINT(52.358066,4.918201)
12;Wonen;9.4;2000;4.865.886;52.331.053;POINT(52.331053,4.865886)
13;NietWonen;525;134000;4.806.131;52.367.943;POINT(52.367943,4.806131)
14;Wonen;9.4;2000;48.073;52.343.369;POINT(52.343369,4.8073)
15;NietWonen;48;12000;4.948.333;52.366.212;POINT(52.366212,4.948333)
16;Wonen;9.4;2000;4.886.761;523.451;POINT(52.3451,4.886761)
17;Wonen;9.4;2000;483.606;52.383.205;POINT(52.383205,4.83606)
18;Wonen;9.4;2000;4.993.357;52.355.103;POINT(52.355103,4.993357)
19;NietWonen;13;3000;4.849.743;52.381.677;POINT(52.381677,4.849743)
20;Wonen;9.4;2000;4.893.075;52.346.083;POINT(52.346083,4.893075)
21;Wonen;9.4;2000;477.989;52.347.296;POINT(52.347296,4.77989)
22;Wonen;9.4;2000;4.791.682;52.382.055;POINT(52.382055,4.791682)
23;Wonen;9.4;2000;486.313;52.325.514;POINT(52.325514,4.86313)
24;Wonen;6;2000;4.856.746;5.238.336;POINT(52.38336,4.856746)
25;NietWonen;110;28000;4.846.986;5.238.386;POINT(52.38386,4.846986)
26;NietWonen;29;7000;4.910.241;52.405.824;POINT(52.405824,4.910241)
27;Wonen;10;2000;4.864.257;52.331.144;POINT(52.331144,4.864257)
28;NietWonen;9.4;2000;4.836.917;52.381.002;POINT(52.381002,4.836917)
29;Wonen;17;4000;4.932.639;52.362.572;POINT(52.362572,4.932639)
30;NietWonen;135;33000;4.873.806;52.331.275;POINT(52.331275,4.873806)
31;Wonen;9.4;2000;493.014;52.409.699;POINT(52.409699,4.93014)
32;Wonen;9.4;2000;4.860.408;52.326.836;POINT(52.326836,4.860408)
33;Wonen;27;7000;4.931.828;52.362.718;POINT(52.362718,4.931828)
34;Wonen;9.4;2000;4.975.952;5.236.201;POINT(52.36201,4.975952)
35;Wonen;9.4;2000;4.994.065;52.352.747;POINT(52.352747,4.994065)
36;Wonen;6;1000;4.925.527;52.343.799;POINT(52.343799,4.925527)
37;Wonen;9.4;2000;4.947.994;52.389.276;POINT(52.389276,4.947994)
38;Wonen;12;3000;4.969.683;52.290.998;POINT(52.290998,4.969683)
39;NietWonen;6;1000;4.935.934;52.361.936;POINT(52.361936,4.935934)
40;Wonen;9.4;2000;4.984.575;52.325.269;POINT(52.325269,4.984575)
41;Wonen;9.4;2000;4.992.844;5.230.085;POINT(52.30085,4.992844)
42;Wonen;10;2000;4.852.022;52.356.191;POINT(52.356191,4.852022)
43;Wonen;9.4;2000;4.792.852;52.374.393;POINT(52.374393,4.792852)
44;Wonen;9.4;2000;4.837.881;52.382.887;POINT(52.382887,4.837881)
45;Wonen;9.4;2000;4.901.751;52.420.041;POINT(52.420041,4.901751)
46;Wonen;9;2000;4.941.459;52.363.188;POINT(52.363188,4.941459)
47;Wonen;9.4;2000;4.879.363;52.349.767;POINT(52.349767,4.879363)
48;Wonen;19;5000;4.801.516;52.380.884;POINT(52.380884,4.801516)
49;Wonen;9.4;2000;4.814.765;52.342.835;POINT(52.342835,4.814765)
50;Wonen;4;1000;4.937.362;52.364.853;POINT(52.364853,4.937362)
51;NietWonen;4;1000;4.848.093;52.375.258;POINT(52.375258,4.848093)
52;Wonen;9.4;2000;4.990.083;522.995;POINT(52.2995,4.990083)
53;NietWonen;10;3000;493.794;52.368.426;POINT(52.368426,4.93794)
54;NietWonen;68;17000;4.790.386;52.389.598;POINT(52.389598,4.790386)
55;NietWonen;51;12000;4.910.124;524.067;POINT(52.4067,4.910124)
56;Wonen;8;2000;4.926.287;52.355.435;POINT(52.355435,4.926287)
57;Wonen;9.4;2000;4.781.548;52.347.524;POINT(52.347524,4.781548)
58;NietWonen;9.4;2000;4.795.843;52.352.786;POINT(52.352786,4.795843)
59;Wonen;8;2000;4.831.051;5.236.505;POINT(52.36505,4.831051)
60;Wonen;9.4;2000;4.920.342;52.402.538;POINT(52.402538,4.920342)
61;Wonen;9.4;2000;4.982.374;52.322.869;POINT(52.322869,4.982374)
62;Wonen;9.4;2000;4.806.141;52.343.516;POINT(52.343516,4.806141)
63;NietWonen;6;2000;4.862.272;52.347.153;POINT(52.347153,4.862272)
64;Wonen;14;4000;4.831.074;52.364.307;POINT(52.364307,4.831074)
65;Wonen;9.4;2000;4.980.458;52.361.216;POINT(52.361216,4.980458)
66;Wonen;9.4;2000;4.894.661;52.339.389;POINT(52.339389,4.894661)
67;Wonen;9.4;2000;4.814.752;52.348.528;POINT(52.348528,4.814752)
68;Wonen;9.4;2000;4.821.266;52.352.517;POINT(52.352517,4.821266)
69;NietWonen;29;7000;4.864.746;52.383.669;POINT(52.383669,4.864746)
70;Wonen;6;1000;4.857.217;52.325.043;POINT(52.325043,4.857217)
71;Wonen;9.4;2000;4.946.385;52.316.803;POINT(52.316803,4.946385)
72;NietWonen;9.4;2000;4.802.971;52.352.015;POINT(52.352015,4.802971)
73;Wonen;5;1000;4.915.938;52.383.043;POINT(52.383043,4.915938)
74;Wonen;11;3000;4.808.238;52.348.791;POINT(52.348791,4.808238)
75;Wonen;9.4;2000;483.186;52.367.815;POINT(52.367815,4.83186)
76;NietWonen;23;6000;4.798.564;52.382.176;POINT(52.382176,4.798564)
77;NietWonen;30;8000;4.764.167;52.395.627;POINT(52.395627,4.764167)
78;Wonen;9.4;2000;4.973.572;52.289.204;POINT(52.289204,4.973572)
79;Wonen;12;3000;4.884.547;5.235.054;POINT(52.35054,4.884547)
80;NietWonen;45;11000;4.835.601;52.366.847;POINT(52.366847,4.835601)
81;Wonen;9.4;2000;4.906.011;52.416.308;POINT(52.416308,4.906011)
82;NietWonen;6;1000;4.851.168;52.376.911;POINT(52.376911,4.851168)
83;Wonen;9.4;2000;4.920.979;52.413.254;POINT(52.413254,4.920979)
84;Wonen;9.4;2000;4.815.606;52.350.301;POINT(52.350301,4.815606)
85;NietWonen;24;6000;4.959.145;52.356.472;POINT(52.356472,4.959145)
86;Wonen;9.4;2000;4.871.433;52.342.667;POINT(52.342667,4.871433)
87;NietWonen;7;2000;4.800.815;52.382.215;POINT(52.382215,4.800815)
88;Wonen;4;1000;4.910.725;5.234.147;POINT(52.34147,4.910725)
89;Wonen;9.4;2000;4.923.871;52.408.046;POINT(52.408046,4.923871)
90;Wonen;9.4;2000;4.890.789;52.424.007;POINT(52.424007,4.890789)
91;Wonen;20;5000;4.831.248;52.350.525;POINT(52.350525,4.831248)
92;Wonen;9.4;2000;498.106;52.327.431;POINT(52.327431,4.98106)
93;NietWonen;14;3000;4.898.572;52.416.981;POINT(52.416981,4.898572)
94;Wonen;9.4;2000;4.985.735;52.316.394;POINT(52.316394,4.985735)
95;Wonen;9.4;2000;4.819.465;5.235.916;POINT(52.35916,4.819465)
96;NietWonen;200;50000;4.942.275;5.232.393;POINT(52.32393,4.942275)
97;Wonen;9.4;2000;4.868.328;52.323.732;POINT(52.323732,4.868328)
98;Wonen;9.4;2000;4.825.259;52.359.515;POINT(52.359515,4.825259)
99;Wonen;9.4;2000;4.833.071;52.369.125;POINT(52.369125,4.833071)
100;Wonen;9.4;2000;4.994.172;52.299.186;POINT(52.299186,4.994172)
101;Wonen;9.4;2000;4.830.756;52.367.967;POINT(52.367967,4.830756)
102;Wonen;6;1000;4.977.504;52.361.915;POINT(52.361915,4.977504)
103;NietWonen;86;21000;4.908.678;52.400.043;POINT(52.400043,4.908678)
104;NietWonen;63;16000;4.945.233;52.295.296;POINT(52.295296,4.945233)
105;Wonen;9.4;2000;4.890.027;52.423.393;POINT(52.423393,4.890027)
106;NietWonen;5;1000;4.856.752;52.381.371;POINT(52.381371,4.856752)
107;Wonen;9.4;2000;4.787.116;52.346.787;POINT(52.346787,4.787116)
108;Wonen;9.4;2000;4.998.769;52.300.768;POINT(52.300768,4.998769)
109;Wonen;9.4;2000;4.789.122;52.348.221;POINT(52.348221,4.789122)
110;Wonen;9.4;2000;4.924.592;52.407.986;POINT(52.407986,4.924592)
111;Wonen;8;2000;4.935.794;52.355.476;POINT(52.355476,4.935794)
112;Wonen;9.4;2000;4.917.087;52.409.313;POINT(52.409313,4.917087)
113;Wonen;9.4;2000;4.906.408;5.241.996;POINT(52.41996,4.906408)
114;NietWonen;48;12000;4.835.334;52.366.844;POINT(52.366844,4.835334)
115;Wonen;9.4;2000;4.982.624;52.326.642;POINT(52.326642,4.982624)
116;Wonen;9.4;2000;4.967.601;52.304.498;POINT(52.304498,4.967601)
117;NietWonen;12;3000;4.905.151;52.402.698;POINT(52.402698,4.905151)
118;Wonen;7;2000;4.800.762;52.381.473;POINT(52.381473,4.800762)
119;Wonen;9.4;2000;4.966.888;52.302.907;POINT(52.302907,4.966888)
120;Wonen;9.4;2000;4.785.439;52.348.066;POINT(52.348066,4.785439)
121;Wonen;9.4;2000;4.830.998;52.375.761;POINT(52.375761,4.830998)
122;Wonen;9.4;2000;4.866.931;52.323.729;POINT(52.323729,4.866931)
123;Wonen;9.4;2000;4.825.142;52.344.425;POINT(52.344425,4.825142)
124;Wonen;9.4;2000;4.775.502;52.348.984;POINT(52.348984,4.775502)
125;Wonen;9.4;2000;4.996.142;52.351.567;POINT(52.351567,4.996142)
126;NietWonen;4;1000;4.908.266;52.401.661;POINT(52.401661,4.908266)
127;Wonen;9.4;2000;4.819.028;52.347.022;POINT(52.347022,4.819028)
128;Wonen;9.4;2000;4.803.598;5.234.635;POINT(52.34635,4.803598)
129;Wonen;9.4;2000;4.978.718;52.326.575;POINT(52.326575,4.978718)
130;Wonen;9.4;2000;4.929.609;52.409.274;POINT(52.409274,4.929609)
131;Wonen;9.4;2000;4.886.896;52.323.731;POINT(52.323731,4.886896)
132;Wonen;9.4;2000;4.792.088;52.343.325;POINT(52.343325,4.792088)
133;Wonen;6;1000;4.822.214;52.374.054;POINT(52.374054,4.822214)
134;Wonen;9.4;2000;4.980.948;52.296.629;POINT(52.296629,4.980948)
135;Wonen;9.4;2000;4.824.017;5.234.386;POINT(52.34386,4.824017)
136;Wonen;9.4;2000;4.810.564;52.342.592;POINT(52.342592,4.810564)
137;Wonen;9.4;2000;4.806.519;52.343.765;POINT(52.343765,4.806519)
138;Wonen;9.4;2000;4.788.266;52.351.511;POINT(52.351511,4.788266)
139;Wonen;43;11000;4.934.526;52.361.629;POINT(52.361629,4.934526)
140;Wonen;9.4;2000;4.962.639;52.308.333;POINT(52.308333,4.962639)
141;NietWonen;3;1000;4.874.424;52.390.227;POINT(52.390227,4.874424)
142;Wonen;9.4;2000;4.777.429;52.348.282;POINT(52.348282,4.777429)
143;Wonen;9.4;2000;4.922.244;52.398.995;POINT(52.398995,4.922244)
144;Wonen;9.4;2000;4.970.559;5.229.919;POINT(52.29919,4.970559)
145;Wonen;9.4;2000;4.990.521;52.300.438;POINT(52.300438,4.990521)
146;Wonen;9.4;2000;4.771.339;52.351.901;POINT(52.351901,4.771339)
147;NietWonen;34;9000;4.831.471;52.380.413;POINT(52.380413,4.831471)
148;Wonen;18;4000;4.935.365;52.355.966;POINT(52.355966,4.935365)
149;Wonen;9.4;2000;49.707;52.301.227;POINT(52.301227,4.9707)
150;Wonen;9.4;2000;4.888.993;52.423.888;POINT(52.423888,4.888993)
151;Wonen;9.4;2000;480.613;52.342.615;POINT(52.342615,4.80613)
152;NietWonen;18;4000;4.849.259;52.380.828;POINT(52.380828,4.849259)
153;Wonen;9.4;2000;4.782.471;52.353.092;POINT(52.353092,4.782471)
154;Wonen;9.4;2000;4.889.697;52.411.979;POINT(52.411979,4.889697)
155;Wonen;4;1000;4.908.712;52.342.967;POINT(52.342967,4.908712)
156;Wonen;9.4;2000;4.814.202;52.349.928;POINT(52.349928,4.814202)
157;Wonen;9.4;2000;482.233;52.374.802;POINT(52.374802,4.82233)
158;Wonen;9.4;2000;4.921.108;52.385.665;POINT(52.385665,4.921108)
159;Wonen;9.4;2000;4.924.978;5.234.345;POINT(52.34345,4.924978)
160;Wonen;9.4;2000;4.809.999;52.344.456;POINT(52.344456,4.809999)
161;Wonen;10;3000;4.969.384;52.315.665;POINT(52.315665,4.969384)
162;Wonen;9.4;2000;4.969.607;52.304.601;POINT(52.304601,4.969607)
163;Wonen;9.4;2000;4.947.173;52.400.488;POINT(52.400488,4.947173)
164;Wonen;18;5000;4.879.698;52.352.294;POINT(52.352294,4.879698)
165;Wonen;9.4;2000;4.994.493;52.300.966;POINT(52.300966,4.994493)
166;Wonen;42;10000;491.342;5.235.048;POINT(52.35048,4.91342)
167;Wonen;15;4000;4.790.384;52.344.776;POINT(52.344776,4.790384)
168;Wonen;9.4;2000;4.993.359;52.295.746;POINT(52.295746,4.993359)
169;Wonen;9.4;2000;4.787.081;52.354.919;POINT(52.354919,4.787081)
170;Wonen;6;1000;4.939.977;52.352.155;POINT(52.352155,4.939977)
171;NietWonen;28;7000;4.834.864;5.235.966;POINT(52.35966,4.834864)
172;Wonen;9.4;2000;4.852.472;52.354.586;POINT(52.354586,4.852472)
173;Wonen;9.4;2000;489.902;52.409.968;POINT(52.409968,4.89902)
174;Wonen;9.4;2000;4.776.029;52.350.182;POINT(52.350182,4.776029)
175;NietWonen;56;14000;4.928.719;52.393.831;POINT(52.393831,4.928719)
176;Wonen;8;2000;4.861.061;52.358.176;POINT(52.358176,4.861061)
177;Wonen;9.4;2000;4.875.937;52.323.629;POINT(52.323629,4.875937)
178;Wonen;6;1000;4.895.393;52.420.684;POINT(52.420684,4.895393)
179;Wonen;9.4;2000;4.980.817;52.321.957;POINT(52.321957,4.980817)
180;NietWonen;82;20000;4.838.051;52.360.228;POINT(52.360228,4.838051)
181;Wonen;9.4;2000;4.919.521;52.401.761;POINT(52.401761,4.919521)
182;Wonen;9.4;2000;4.990.065;52.300.582;POINT(52.300582,4.990065)
183;Wonen;9.4;2000;4.804.575;52.342.362;POINT(52.342362,4.804575)
184;Wonen;64;16000;4.935.329;52.361.448;POINT(52.361448,4.935329)
185;Wonen;9.4;2000;4.992.247;52.359.335;POINT(52.359335,4.992247)
186;NietWonen;9.4;2000;4.948.811;52.374.056;POINT(52.374056,4.948811)
187;Wonen;9.4;2000;4.826.491;52.360.493;POINT(52.360493,4.826491)
188;NietWonen;13;3000;4.937.149;52.367.037;POINT(52.367037,4.937149)
189;Wonen;9;2000;4.814.204;5.234.988;POINT(52.34988,4.814204)
190;Wonen;2;1000;4.865.171;52.369.636;POINT(52.369636,4.865171)
191;Wonen;9.4;2000;4.979.833;52.328.685;POINT(52.328685,4.979833)
192;NietWonen;24;6000;4.858.236;52.380.479;POINT(52.380479,4.858236)
193;Wonen;9.4;2000;4.865.481;52.341.933;POINT(52.341933,4.865481)
194;Wonen;9.4;2000;4.977.323;52.314.201;POINT(52.314201,4.977323)
195;Wonen;12;3000;4.943.869;52.321.295;POINT(52.321295,4.943869)
196;Wonen;12;3000;4.879.603;52.352.044;POINT(52.352044,4.879603)
197;NietWonen;301;74000;4.917.235;52.343.191;POINT(52.343191,4.917235)
198;Wonen;9.4;2000;4.792.759;52.378.908;POINT(52.378908,4.792759)
199;Wonen;9.4;2000;4.894.287;52.408.087;POINT(52.408087,4.894287)
200;Wonen;9.4;2000;4.795.328;52.382.737;POINT(52.382737,4.795328)
201;NietWonen;12;3000;4.990.934;52.359.496;POINT(52.359496,4.990934)
202;Wonen;9.4;2000;4.920.116;52.402.259;POINT(52.402259,4.920116)
203;Wonen;10;2000;494.359;52.370.972;POINT(52.370972,4.94359)
204;Wonen;9.4;2000;4.937.319;52.391.171;POINT(52.391171,4.937319)
205;Wonen;9.4;2000;4.882.914;52.415.944;POINT(52.415944,4.882914)
206;Wonen;9.4;2000;4.997.988;52.299.788;POINT(52.299788,4.997988)
207;Wonen;9.4;2000;4.977.411;52.362.184;POINT(52.362184,4.977411)
208;Wonen;9.4;2000;4.906.002;5.241.636;POINT(52.41636,4.906002)
209;NietWonen;31;8000;4.913.703;52.349.526;POINT(52.349526,4.913703)
210;Wonen;9.4;2000;4.912.727;52.400.938;POINT(52.400938,4.912727)
211;NietWonen;32;8000;495.397;5.234.792;POINT(52.34792,4.95397)
212;Wonen;9.4;2000;4.902.232;52.410.408;POINT(52.410408,4.902232)
213;Wonen;2;0;4.942.281;52.364.459;POINT(52.364459,4.942281)
214;Wonen;9.4;2000;4.961.984;52.320.447;POINT(52.320447,4.961984)
215;Wonen;9.4;2000;4.824.468;52.361.015;POINT(52.361015,4.824468)
216;Wonen;9.4;2000;4.801.928;52.343.717;POINT(52.343717,4.801928)
217;Wonen;9.4;2000;487.927;52.349.784;POINT(52.349784,4.87927)
218;Wonen;9.4;2000;49.851;52.324.723;POINT(52.324723,4.9851)
219;NietWonen;48;12000;4.835.656;52.365.009;POINT(52.365009,4.835656)
220;Wonen;9.4;2000;4.821.468;52.374.104;POINT(52.374104,4.821468)
221;Wonen;9.4;2000;4.808.401;52.352.166;POINT(52.352166,4.808401)
222;Wonen;9.4;2000;48.168;52.350.305;POINT(52.350305,4.8168)
223;Wonen;9.4;2000;4.984.476;52.323.904;POINT(52.323904,4.984476)
224;NietWonen;4;1000;4.942.207;52.364.128;POINT(52.364128,4.942207)
225;Wonen;18;4000;4.794.385;52.347.813;POINT(52.347813,4.794385)
226;NietWonen;5;1000;48.959;52.357.386;POINT(52.357386,4.8959)
227;Wonen;9.4;2000;4.821.868;52.374.609;POINT(52.374609,4.821868)
228;Wonen;9.4;2000;4.899.756;5.242.311;POINT(52.42311,4.899756)
229;Wonen;9.4;2000;4.992.622;52.300.401;POINT(52.300401,4.992622)
230;Wonen;8;2000;477.932;52.352.316;POINT(52.352316,4.77932)
231;Wonen;9.4;2000;4.808.926;52.346.918;POINT(52.346918,4.808926)
232;Wonen;6;1000;4.941.896;52.353.833;POINT(52.353833,4.941896)
233;Wonen;9.4;2000;4.903.029;52.410.225;POINT(52.410225,4.903029)
234;Wonen;8;2000;4.930.461;52.407.014;POINT(52.407014,4.930461)
235;Wonen;9.4;2000;4.918.741;52.401.887;POINT(52.401887,4.918741)
236;Wonen;8;2000;4.977.121;52.289.486;POINT(52.289486,4.977121)
237;Wonen;9.4;2000;480.573;52.350.769;POINT(52.350769,4.80573)
238;NietWonen;44;11000;4.908.305;52.389.183;POINT(52.389183,4.908305)
239;NietWonen;47;12000;491.216;52.407.414;POINT(52.407414,4.91216)
240;Wonen;56;14000;4.906.539;52.410.473;POINT(52.410473,4.906539)
241;Wonen;9.4;2000;476.623;52.377.572;POINT(52.377572,4.76623)
242;NietWonen;40;10000;4.773.927;52.356.258;POINT(52.356258,4.773927)
243;Wonen;9.4;2000;4.875.088;52.345.768;POINT(52.345768,4.875088)
244;Wonen;9.4;2000;4.966.553;5.231.934;POINT(52.31934,4.966553)
245;Wonen;9.4;2000;4.943.711;52.389.758;POINT(52.389758,4.943711)
246;Wonen;14;3000;4.943.709;52.321.467;POINT(52.321467,4.943709)
247;Wonen;9.4;2000;4.981.443;52.360.285;POINT(52.360285,4.981443)
248;Wonen;12;3000;4.861.106;52.351.409;POINT(52.351409,4.861106)
249;Wonen;9.4;2000;4.830.964;52.375.975;POINT(52.375975,4.830964)
250;Wonen;18;4000;4.924.513;52.358.435;POINT(52.358435,4.924513)
251;Wonen;18;4000;4.991.487;5.235.913;POINT(52.35913,4.991487)
252;Wonen;6;1000;4.929.657;52.361.749;POINT(52.361749,4.929657)
253;Wonen;9.4;2000;4.948.867;52.343.403;POINT(52.343403,4.948867)
254;Wonen;9.4;2000;481.569;52.353.088;POINT(52.353088,4.81569)
255;Wonen;4;1000;4.851.819;52.360.131;POINT(52.360131,4.851819)
256;Wonen;9.4;2000;4.902.033;52.410.111;POINT(52.410111,4.902033)
257;Wonen;9.4;2000;4.930.643;52.409.469;POINT(52.409469,4.930643)
258;NietWonen;32;8000;4.854.731;52.358.372;POINT(52.358372,4.854731)
259;Wonen;6;1000;4.889.147;52.347.778;POINT(52.347778,4.889147)
260;Wonen;9.4;2000;4.897.703;52.417.143;POINT(52.417143,4.897703)
261;Wonen;9.4;2000;4.879.457;52.349.751;POINT(52.349751,4.879457)
262;Wonen;9.4;2000;4.782.033;52.348.908;POINT(52.348908,4.782033)
263;Wonen;9.4;2000;4.817.863;5.234.563;POINT(52.34563,4.817863)
264;Wonen;6;1000;4.910.079;52.348.315;POINT(52.348315,4.910079)
265;NietWonen;40;10000;4.820.513;52.390.431;POINT(52.390431,4.820513)
266;Wonen;9.4;2000;4.832.081;52.367.841;POINT(52.367841,4.832081)
267;Wonen;9.4;2000;4.831.067;52.368.143;POINT(52.368143,4.831067)
268;Wonen;12;3000;4.819.943;52.348.034;POINT(52.348034,4.819943)
269;Wonen;9.4;2000;4.996.442;52.300.371;POINT(52.300371,4.996442)
270;Wonen;9.4;2000;4.898.786;52.339.183;POINT(52.339183,4.898786)
271;Wonen;4;1000;4.870.114;52.382.322;POINT(52.382322,4.870114)
272;Wonen;9.4;2000;4.985.447;52.320.241;POINT(52.320241,4.985447)
273;Wonen;18;4000;5.008.949;52.346.662;POINT(52.346662,5.008949)
274;Wonen;8;2000;4.895.369;52.350.713;POINT(52.350713,4.895369)
275;Wonen;9.4;2000;4.941.175;52.353.829;POINT(52.353829,4.941175)
276;Wonen;9.4;2000;4.778.562;52.353.602;POINT(52.353602,4.778562)
277;Wonen;9.4;2000;4.982.374;52.325.426;POINT(52.325426,4.982374)
278;Wonen;10;2000;4.855.566;52.350.657;POINT(52.350657,4.855566)
279;Wonen;9.4;2000;4.929.047;52.407.084;POINT(52.407084,4.929047)
280;Wonen;9.4;2000;4.962.407;52.308.685;POINT(52.308685,4.962407)
281;Wonen;9.4;2000;4.801.391;52.346.552;POINT(52.346552,4.801391)
282;NietWonen;312;76000;4.854.038;52.393.334;POINT(52.393334,4.854038)
283;Wonen;9.4;2000;4.946.269;52.374.204;POINT(52.374204,4.946269)
284;NietWonen;8;2000;4.861.595;52.346.484;POINT(52.346484,4.861595)
285;Wonen;9.4;2000;4.964.634;52.323.389;POINT(52.323389,4.964634)
286;NietWonen;140;34000;488.307;52.388.233;POINT(52.388233,4.88307)
287;Wonen;9.4;2000;4.991.623;52.301.086;POINT(52.301086,4.991623)
288;Wonen;9.4;2000;4.788.217;52.353.275;POINT(52.353275,4.788217)
289;Wonen;9.4;2000;4.903.505;52.421.695;POINT(52.421695,4.903505)
290;Wonen;9.4;2000;4.995.436;52.351.952;POINT(52.351952,4.995436)
291;Wonen;9.4;2000;4.792.283;52.378.641;POINT(52.378641,4.792283)
292;NietWonen;9.4;2000;4.816.993;52.344.706;POINT(52.344706,4.816993)
293;Wonen;9.4;2000;4.860.506;52.353.526;POINT(52.353526,4.860506)
294;Wonen;9.4;2000;4.871.955;52.342.606;POINT(52.342606,4.871955)
295;Wonen;7;2000;4.857.216;52.379.391;POINT(52.379391,4.857216)
296;Wonen;24;6000;492.172;52.357.624;POINT(52.357624,4.92172)
297;Wonen;9.4;2000;4.780.664;52.352.082;POINT(52.352082,4.780664)
298;Wonen;9.4;2000;4.895.209;52.420.964;POINT(52.420964,4.895209)
299;Wonen;9.4;2000;4.821.508;52.374.498;POINT(52.374498,4.821508)
300;Wonen;9.4;2000;4.801.305;52.355.093;POINT(52.355093,4.801305)
301;Wonen;9.4;2000;4.792.283;52.379.242;POINT(52.379242,4.792283)
302;Wonen;9.4;2000;4.843.502;52.355.269;POINT(52.355269,4.843502)
303;Wonen;9.4;2000;489.446;52.339.398;POINT(52.339398,4.89446)
304;NietWonen;9.4;2000;5.002.098;52.351.228;POINT(52.351228,5.002098)
305;Wonen;3;1000;4.875.372;5.235.238;POINT(52.35238,4.875372)
306;Wonen;9.4;2000;4.815.829;52.353.116;POINT(52.353116,4.815829)
307;Wonen;9.4;2000;4.947.396;52.344.326;POINT(52.344326,4.947396)
308;NietWonen;29;7000;4.802.761;52.354.107;POINT(52.354107,4.802761)
309;Wonen;9.4;2000;4.996.555;52.352.386;POINT(52.352386,4.996555)
310;Wonen;9.4;2000;5.019.483;5.230.389;POINT(52.30389,5.019483)
311;Wonen;9.4;2000;4.969.971;52.315.526;POINT(52.315526,4.969971)
312;Wonen;18;4000;4.950.479;52.371.779;POINT(52.371779,4.950479)
313;Wonen;11;3000;4.917.958;52.358.005;POINT(52.358005,4.917958)
314;Wonen;9.4;2000;4.817.014;5.238.324;POINT(52.38324,4.817014)
315;NietWonen;24;6000;4.825.571;52.416.926;POINT(52.416926,4.825571)
316;Wonen;9.4;2000;4.809.046;52.351.798;POINT(52.351798,4.809046)
317;Wonen;9.4;2000;4.811.682;52.372.276;POINT(52.372276,4.811682)
318;Wonen;9.4;2000;4.995.416;52.351.519;POINT(52.351519,4.995416)
319;Wonen;9.4;2000;4.962.364;52.319.522;POINT(52.319522,4.962364)
320;Wonen;9.4;2000;4.875.094;52.343.737;POINT(52.343737,4.875094)
321;Wonen;9.4;2000;4.952.931;52.317.669;POINT(52.317669,4.952931)
322;Wonen;38;10000;4.782.218;52.351.235;POINT(52.351235,4.782218)
323;Wonen;9.4;2000;4.808.665;52.348.859;POINT(52.348859,4.808665)
324;NietWonen;250;64000;4.959.852;52.399.966;POINT(52.399966,4.959852)
325;Wonen;8;2000;4.926.482;52.355.497;POINT(52.355497,4.926482)
326;Wonen;9.4;2000;4.980.216;52.360.527;POINT(52.360527,4.980216)
327;Wonen;9.4;2000;494.914;52.386.939;POINT(52.386939,4.94914)
328;Wonen;9.4;2000;4.799.693;5.235.055;POINT(52.35055,4.799693)
329;NietWonen;9.4;2000;4.797.625;52.353.046;POINT(52.353046,4.797625)
330;NietWonen;37;9000;4.869.935;52.351.516;POINT(52.351516,4.869935)
331;Wonen;9.4;2000;4.773.709;52.351.093;POINT(52.351093,4.773709)
332;Wonen;9.4;2000;4.954.311;52.397.753;POINT(52.397753,4.954311)
333;Wonen;13;3000;4.788.363;52.344.522;POINT(52.344522,4.788363)
334;Wonen;9.4;2000;4.872.047;52.323.392;POINT(52.323392,4.872047)
335;Wonen;18;5000;4.881.887;52.352.099;POINT(52.352099,4.881887)
336;Wonen;12;3000;4.789.197;52.345.299;POINT(52.345299,4.789197)
337;Wonen;9.4;2000;4.964.393;52.304.261;POINT(52.304261,4.964393)
338;Wonen;9.4;2000;4.832.948;52.367.799;POINT(52.367799,4.832948)
339;Wonen;9.4;2000;4.949.307;52.387.212;POINT(52.387212,4.949307)
340;NietWonen;11;3000;485.771;52.380.139;POINT(52.380139,4.85771)
341;Wonen;20;5000;4.880.532;52.352.647;POINT(52.352647,4.880532)
342;Wonen;9.4;2000;4.771.773;52.351.396;POINT(52.351396,4.771773)
343;Wonen;9.4;2000;4.792.668;5.234.523;POINT(52.34523,4.792668)
344;Wonen;9.4;2000;4.814.466;5.234.413;POINT(52.34413,4.814466)
345;Wonen;9.4;2000;4.891.579;52.423.357;POINT(52.423357,4.891579)
346;NietWonen;31;8000;4.902.202;5.238.377;POINT(52.38377,4.902202)
