subject,region_name,regio_type,region_code,lon,lat
Buiksloterdijk Oost,Amsterdam,Buurt,BU03636401,4.92336070048973,52.396919199696
Nieuwendammmerdijk West,Amsterdam,Buurt,BU03636402,4.93369847214616,52.3916495970768
Nieuwendammerdijk Oost,Amsterdam,Buurt,BU03636403,4.94443267002972,52.3886064699677
Nieuwendammerdijk Zuid,Amsterdam,Buurt,BU03636404,4.94313613723852,52.3874484152473
Tuindorp Oostzaan,Amsterdam,Wijk,WK036365,4.893248601461269,52.4107032960088
Tuindorp Oostzaan West,Amsterdam,Buurt,BU03636500,4.878876677864691,52.4165673323459
Tuindorp Oostzaan Oost,Amsterdam,Buurt,BU03636501,4.887804169055791,52.412769998076
Terrasdorp,Amsterdam,Buurt,BU03636502,4.89695594617288,52.4088937100684
De Bongerd,Amsterdam,Buurt,BU03636503,4.9030151316690995,52.4076519568206
Oostzanerwerf,Amsterdam,Wijk,WK036366,4.87687713994617,52.4217277808706
Oostzanerdijk,Amsterdam,Buurt,BU03636601,4.87739965235869,52.4189283072027
Walvisbuurt,Amsterdam,Buurt,BU03636602,4.88378943792905,52.4229261492504
Twiske West,Amsterdam,Buurt,BU03636603,4.89469347759928,52.4219591649566
Noorder IJplas,Amsterdam,Buurt,BU03636604,4.8658669462274595,52.4231596235246
Molenwijk,Amsterdam,Buurt,BU03636605,4.88933225827678,52.41866984855061
Circus/Kermisbuurt,Amsterdam,Buurt,BU03636606,4.88426828280712,52.418113415227005
Kadoelen,Amsterdam,Wijk,WK036367,4.90735232223796,52.4160632357508
Kadoelen,Amsterdam,Buurt,BU03636700,4.90806324297117,52.4152252595127
Twiske Oost,Amsterdam,Buurt,BU03636701,4.902440853620081,52.421817357261
Waterlandpleinbuurt,Amsterdam,Wijk,WK036368,4.95438314279132,52.3943096108351
Baanakkerspark Noord,Amsterdam,Buurt,BU03636800,4.95083992605948,52.400080064718296
Baanakkerspark Zuid,Amsterdam,Buurt,BU03636801,4.94574703275848,52.396261655524505
Werengouw Midden,Amsterdam,Buurt,BU03636802,4.95107002013445,52.394016304927206
Markengouw Midden,Amsterdam,Buurt,BU03636803,4.9570210966295996,52.3966358615356
Markengouw Zuid,Amsterdam,Buurt,BU03636804,4.96200192951922,52.3911205924635
Werengouw Zuid,Amsterdam,Buurt,BU03636805,4.95564491438936,52.389272157627104
Buikslotermeer,Amsterdam,Wijk,WK036369,4.9383666168769595,52.3997688531727
Rode Kruisbuurt,Amsterdam,Buurt,BU03636900,4.9298978314557305,52.3949823914781
Loenermark,Amsterdam,Buurt,BU03636902,4.931213634287531,52.39926523525471
Buikslotermeerplein,Amsterdam,Buurt,BU03636909,4.94024474672287,52.3985205722945
Plan van Gool,Amsterdam,Buurt,BU03636910,4.935762815601049,52.39619940478249
De Kleine Wereld,Amsterdam,Buurt,BU03636911,4.94147863801929,52.401313391936
Buikslotermeer Noord,Amsterdam,Buurt,BU03636912,4.94280091636479,52.403508310402295
Banne Buiksloot,Amsterdam,Wijk,WK036370,4.917565011521799,52.40729393163961
Banne Zuidwest,Amsterdam,Buurt,BU03637000,4.9103567174753895,52.40595745328421
Banne Zuidoost,Amsterdam,Buurt,BU03637001,4.918512742691219,52.4040023754296
Banne Noordwest,Amsterdam,Buurt,BU03637002,4.91847341377459,52.4115409893279
Banne Noordoost,Amsterdam,Buurt,BU03637003,4.92442556857355,52.4104396284624
Buiksloterbreek,Amsterdam,Buurt,BU03637004,4.90696141702667,52.402852131755196
Marjoleinterrein,Amsterdam,Buurt,BU03637005,4.91257105268125,52.4013994870913
Noordelijke IJ-oevers West,Amsterdam,Wijk,WK036371,4.89154972002697,52.4006244055002
Papaverweg e.o.,Amsterdam,Buurt,BU03637102,4.90494530315061,52.3980614630167
Cornelis Douwesterrein,Amsterdam,Buurt,BU03637104,4.87775902164,52.410203761145404
NDSM terrein,Amsterdam,Buurt,BU03637105,4.8912032285983695,52.40115191068979
Buiksloterham,Amsterdam,Buurt,BU03637106,4.89975266471739,52.3932438849321
Overhoeks,Amsterdam,Buurt,BU03637107,4.9007508042024295,52.3867699241463
Noordelijke IJ-oevers Oost,Amsterdam,Wijk,WK036372,4.934197443542639,52.384304189519995
Bedrijventerrein Hamerstraat,Amsterdam,Buurt,BU03637200,4.92582188142505,52.3838404939851
Zamenhofstraat e.o.,Amsterdam,Buurt,BU03637201,4.93704486259728,52.38497260811911
Bedrijventerrein Nieuwendammerdijk,Amsterdam,Buurt,BU03637202,4.9481749290742805,52.384173886123
Waterland,Amsterdam,Wijk,WK036373,4.99259878282579,52.402803454095896
Schellingwoude West,Amsterdam,Buurt,BU03637300,4.95703763479967,52.384135186609896
Schellingwoude Oost,Amsterdam,Buurt,BU03637301,4.96568511971876,52.384889216459996
Schellingwoude Noord,Amsterdam,Buurt,BU03637302,4.97238809983727,52.386135618534496
Durgerdam,Amsterdam,Buurt,BU03637303,4.99957514182781,52.3811070608638
Zwarte Gouw,Amsterdam,Buurt,BU03637304,4.9786199003760805,52.389641410920106
Ransdorp,Amsterdam,Buurt,BU03637305,5.001636412359519,52.39119278742721
Holysloot,Amsterdam,Buurt,BU03637306,5.0178237474996505,52.4071243565773
Zunderdorp,Amsterdam,Buurt,BU03637307,4.97506831462513,52.412959839737994
Noorderstrook West,Amsterdam,Buurt,BU03637308,4.9456390061955,52.407697753019
Noorderstrook Oost,Amsterdam,Buurt,BU03637309,4.96360170266753,52.396443463379605
Elzenhagen,Amsterdam,Wijk,WK036374,4.9294129202170405,52.4041076182393
Nintemanterrein,Amsterdam,Buurt,BU03637400,4.924655930008759,52.397291194812006
Elzenhagen Zuid,Amsterdam,Buurt,BU03637401,4.92686154579449,52.4011218081851
Elzenhagen Noord,Amsterdam,Buurt,BU03637402,4.931351137581481,52.406468311589606
Chassébuurt,Amsterdam,Wijk,WK036375,4.86017114587084,52.368450136264
Kortenaerkwartier,Amsterdam,Buurt,BU03637500,4.861598063750019,52.3699237312899
Filips van Almondekwartier,Amsterdam,Buurt,BU03637501,4.85801069918563,52.3699938545868
De Wester Quartier,Amsterdam,Buurt,BU03637502,4.86067999589171,52.3671898733476
Van Brakelkwartier,Amsterdam,Buurt,BU03637503,4.85861185976369,52.3662399087323
Slotermeer-Noordoost,Amsterdam,Wijk,WK036376,4.829851921117809,52.381387580051495
Buurt 3,Amsterdam,Buurt,BU03637600,4.830068109621321,52.382526753499796
Buurt 2,Amsterdam,Buurt,BU03637601,4.82935708160922,52.3788646338466
Slotermeer-Zuidwest,Amsterdam,Wijk,WK036377,4.81822807009107,52.37319713474529
